"No.","Time","Source","Destination","Protocol","Info"
"365","160.607409","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"366","160.610966","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"367","160.613882","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"368","160.619105","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"369","160.621389","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"370","160.624173","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"371","160.626482","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"372","160.630859","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"373","160.636214","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"374","161.319913","192.168.1.49","224.0.0.2","LDP","Hello Message "
"375","161.930664","192.168.1.49","224.0.0.10","EIGRP","Hello"
"376","161.981836","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"377","161.982148","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"378","161.997911","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"379","161.998577","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"380","162.003942","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"381","162.005330","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"382","162.018019","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"383","162.022646","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"384","162.026909","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"385","162.027925","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"386","162.045921","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"387","162.049300","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"388","162.052939","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"389","162.054292","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"390","162.060680","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"391","162.067266","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"392","162.069752","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"393","162.071625","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"394","162.076668","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"395","162.081721","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"396","162.142150","192.168.1.50","224.0.0.10","EIGRP","Hello"
"397","162.142195","192.168.1.50","224.0.0.2","LDP","Hello Message "
"398","162.449258","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"399","162.449455","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"400","162.459954","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"401","162.461296","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"402","162.464116","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"403","162.466181","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"404","162.474669","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"405","162.486082","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"406","162.488894","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"407","162.491387","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"408","162.497958","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
